	z-dna_#	z-dna.slop100_#	z-dna.slop200_#	z-dna_%	z-dna.slop100_%	z-dna.slop200_%	quadruplex_#	quadruplex.slop100_#	quadruplex.slop200_#	quadruplex_%	quadruplex.slop100_%	quadruplex.slop200_%	sidd_#	sidd.slop100_#	sidd.slop200_#	sidd_%	sidd.slop100_%	sidd.slop200_%	h-dna_#	h-dna.slop100_#	h-dna.slop200_#	h-dna_%	h-dna.slop100_%	h-dna.slop200_%
miR-96/1271	7	496	757	0.02793407558162736	1.9793287840695957	3.0208707450417016	1	144	297	0.0049375401175134545	0.7110057769219376	1.466449414901496	38	174	283	0.24843096234309622	1.1375523012552302	1.8501569037656904	0	69	207	0.0	0.4035087719298246	1.2105263157894737
miR-99/100	5	40	69	0.019952911129733828	0.15962328903787062	0.2753501735903268	3	27	61	0.014812620352540364	0.1333135831728633	0.30118994716832076	4	18	31	0.02615062761506276	0.11767782426778244	0.2026673640167364	0	11	18	0.0	0.06432748538011696	0.10526315789473684
miR-124	8	366	747	0.03192465780757413	1.4605530946965162	2.980964922782234	3	312	665	0.014812620352540364	1.5405125166641978	3.2834641781464473	156	479	881	1.0198744769874477	3.131537656903766	5.759675732217573	0	209	529	0.0	1.2222222222222223	3.0935672514619883
miR-125	0	501	1092	0.0	1.9992816951993297	4.357715790733868	72	615	1300	0.3555028884609688	3.036587172270775	6.418802152767491	63	373	737	0.41187238493723854	2.4385460251046025	4.818253138075314	1	300	704	0.0058479532163742695	1.7543859649122806	4.116959064327485
miR-133	2	434	977	0.007981164451893532	1.7319126860608964	3.89879883474999	55	1050	1656	0.27156470646324	5.184417123389127	8.17656643460228	72	669	1549	0.47071129707112974	4.373692468619247	10.126830543933055	2	352	920	0.011695906432748539	2.0584795321637426	5.380116959064328
miR-153	7	136	353	0.02793407558162736	0.5427191827287601	1.4086755257592083	2	78	215	0.009875080235026909	0.38512812916604944	1.0615711252653928	85	213	332	0.5557008368200836	1.392520920502092	2.170502092050209	0	79	195	0.0	0.4619883040935672	1.1403508771929824
miR-183	11	494	1000	0.043896404485414424	1.9713476196177022	3.9905822259467656	4	304	592	0.019750160470053818	1.5010121957240903	2.923023749567965	81	451	782	0.5295502092050209	2.9484832635983267	5.11244769874477	0	223	531	0.0	1.304093567251462	3.105263157894737
miR-184	2	193	368	0.007981164451893532	0.7701823696077258	1.4685342591484098	16	204	330	0.07900064188021527	1.0072581839727448	1.62938823877944	10	60	98	0.0653765690376569	0.3922594142259414	0.6406903765690377	8	98	172	0.046783625730994156	0.5730994152046783	1.0058479532163742
miR-190	0	214	370	0.0	0.8539845963526079	1.4765154236003033	0	63	193	0.0	0.3110650274033476	0.9529452426800968	154	288	440	1.0067991631799162	1.882845188284519	2.8765690376569037	0	75	247	0.0	0.43859649122807015	1.4444444444444444
miR-193	2	800	1468	0.007981164451893532	3.192465780757413	5.858174707689852	38	516	1045	0.18762652446551129	2.547770700636943	5.15972942280156	123	486	822	0.8041317991631799	3.177301255230126	5.3739539748953975	0	308	666	0.0	1.801169590643275	3.8947368421052633
miR-200bc/429	0	73	188	0.0	0.2913125024941139	0.7502294584779919	0	65	214	0.0	0.32094010763837455	1.0566335851478794	156	323	503	1.0198744769874477	2.111663179916318	3.2884414225941425	0	88	250	0.0	0.5146198830409356	1.461988304093567
miR-210	911	1617	2069	3.6354204078375036	6.45277145935592	8.25651462548386	1	90	215	0.0049375401175134545	0.4443786105762109	1.0615711252653928	28	145	229	0.18305439330543932	0.9479602510460251	1.4971234309623431	0	100	178	0.0	0.5847953216374269	1.0409356725146197
