	z-dna_slop100>slop_#	z-dna_slop200>slop100_#	z-dna_slop100>slop_%	z-dna_slop200>slop100_%	quadruplex_slop100>slop_#	quadruplex_slop200>slop100_#	quadruplex_slop100>slop_%	quadruplex_slop200>slop100_%	sidd_slop100>slop_#	sidd_slop200>slop100_#	sidd_slop100>slop_%	sidd_slop200>slop100_%	h-dna_slop100>slop_#	h-dna_slop200>slop100_#	h-dna_slop100>slop_%	h-dna_slop200>slop100_%
47	126	214	0.5028133604692925	0.8539845963526079	99	122	0.4888164716338321	0.6023798943366415	172	152	1.1244769874476988	0.9937238493723849	96	138	0.5614035087719298	0.8070175438596492
48	124	527	0.4948321960173989	2.1030368330739453	82	205	0.4048782896361033	1.0121957240902582	197	225	1.287918410041841	1.4709728033472802	180	204	1.0526315789473684	1.1929824561403508
49	719	663	2.8692286204557242	2.6457560158027054	454	555	2.2416432133511086	2.740334765219967	255	336	1.667102510460251	2.1966527196652716	178	244	1.0409356725146197	1.4269005847953216
50	852	943	3.3999760565066444	3.7631190390677998	757	930	3.7377178689576853	4.591912309287513	775	791	5.06668410041841	5.171286610878661	451	731	2.6374269005847952	4.2748538011695905
51	203	203	0.8100881918671934	0.8100881918671934	144	223	0.7110057769219376	1.1010714462055005	196	215	1.2813807531380754	1.4055962343096233	176	275	1.0292397660818713	1.608187134502924
52	528	652	2.1070274152998922	2.601859611317291	1228	391	6.063299264306522	1.9305781859477609	1403	406	9.172332635983263	2.6542887029288704	323	633	1.8888888888888888	3.7017543859649122
53	257	313	1.0255796320683188	1.2490522367213377	202	241	0.9973831037377179	1.1899471683207425	217	351	1.4186715481171548	2.294717573221757	330	277	1.9298245614035088	1.6198830409356726
54	114	132	0.4549263737579313	0.5267568538249731	81	144	0.3999407495185898	0.7110057769219376	152	174	0.9937238493723849	1.1375523012552302	113	134	0.6608187134502924	0.783625730994152
55	195	289	0.7781635340596194	1.1532782632986154	171	239	0.8443193600948008	1.1800720880857156	220	313	1.4382845188284519	2.0462866108786613	167	238	0.9766081871345028	1.391812865497076
56	343	276	1.3687697034997406	1.1014006943613073	175	216	0.8640695205648545	1.0665086653829063	172	187	1.1244769874476988	1.2225418410041842	132	175	0.7719298245614036	1.023391812865497
57	356	329	1.4206472724370485	1.312901552336486	207	184	1.022070804325285	0.9085073816224757	38	35	0.24843096234309622	0.22881799163179917	40	62	0.23391812865497078	0.3625730994152047
58	313	309	1.2490522367213377	1.2330899078175506	253	251	1.249197649730904	1.2393225694958772	199	148	1.3009937238493725	0.9675732217573221	108	177	0.631578947368421	1.0350877192982455
59	78	133	0.31126541362384774	0.5307474360509199	71	103	0.35056534834345526	0.5085666321038859	124	141	0.8106694560669456	0.9218096234309624	71	138	0.4152046783625731	0.8070175438596492
60	510	461	2.0351969352328503	1.839658406161459	112	143	0.5530044931615069	0.7060682368044241	262	228	1.712866108786611	1.4905857740585775	133	223	0.7777777777777778	1.304093567251462
